               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11394,            0.013502,                   0,             0.33541,            0.021739,            0.026127,           0.0091936,             0.10172,           0.0081387,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.081886,            0.017982,                   0,             0.15323,             0.12319,            0.071222,            0.022889,            0.073042,           0.0096893,                   0,            0.064887,           0.0038871,           0.0038871
                   2,            0.063247,            0.018304,                   0,             0.16675,             0.21739,            0.091567,            0.026677,            0.064898,           0.0091934,                   0,            0.046861,           0.0058611,           0.0058611
                   3,            0.055844,            0.017021,                   0,             0.26783,             0.22464,             0.22483,            0.070429,            0.060399,           0.0072603,                   0,            0.028822,           0.0078218,           0.0078218
                   4,            0.053484,            0.014598,                   0,             0.37494,             0.52899,             0.34575,             0.11832,            0.058738,           0.0062609,                   0,            0.010769,           0.0097693,           0.0097693
                   5,            0.050654,            0.013544,                   0,             0.51653,             0.71227,             0.57477,             0.21932,            0.052557,           0.0055513,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.046599,            0.011925,                   0,             0.52065,             0.72464,             0.56609,             0.22698,             0.04588,           0.0067377,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.046714,            0.011921,                   0,             0.68803,             0.73913,             0.69397,             0.34169,            0.047039,           0.0048547,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.043293,            0.011583,                   0,             0.47353,             0.69565,             0.56793,             0.20527,            0.047671,            0.005785,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.043679,            0.011063,                   0,             0.41078,             0.45468,             0.37206,             0.17635,            0.052423,            0.006309,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.041882,            0.011364,                   0,             0.64945,             0.71014,             0.71208,             0.34217,            0.037605,           0.0050712,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.039734,             0.01115,                   0,             0.72862,             0.80435,             0.76877,             0.40101,            0.039652,           0.0047312,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.039368,             0.01051,                   0,             0.63572,              0.6087,             0.62376,             0.29765,            0.047644,           0.0051999,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.039146,            0.010615,                   0,             0.64702,             0.73913,             0.73439,              0.3377,            0.037358,           0.0046568,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.039703,            0.010966,                   0,             0.72215,             0.68841,             0.66284,             0.27904,            0.041535,           0.0051575,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.038413,            0.010772,                   0,             0.74941,             0.80435,             0.82191,             0.37601,            0.037566,           0.0047464,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.038109,            0.010449,                   0,             0.76701,             0.78261,             0.78543,             0.36619,            0.037363,           0.0049615,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.037256,           0.0099544,                   0,              0.7079,             0.83333,             0.78522,             0.36936,            0.037099,           0.0049276,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.036411,           0.0097901,                   0,             0.74196,             0.76812,             0.77643,              0.4019,            0.035756,           0.0050449,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035959,           0.0096248,                   0,             0.69039,             0.75946,             0.79537,             0.40928,            0.035228,            0.004612,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.036387,           0.0097804,                   0,             0.68564,             0.77445,             0.76928,             0.37845,            0.036214,           0.0047302,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034922,           0.0098189,                   0,             0.77315,             0.81884,             0.79327,             0.41163,            0.034927,           0.0048833,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.03402,           0.0090277,                   0,             0.73496,             0.88416,             0.80339,              0.4399,            0.034056,           0.0046048,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.034473,            0.009766,                   0,             0.76827,             0.86232,             0.85299,             0.44607,            0.036206,           0.0044365,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.033626,           0.0096207,                   0,             0.76934,             0.86232,             0.80386,             0.44327,            0.035887,           0.0049458,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.033976,           0.0088651,                   0,             0.76209,              0.7971,             0.80996,             0.44452,            0.032045,           0.0046582,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.033433,           0.0088934,                   0,             0.82673,             0.77536,              0.8337,             0.44271,             0.03429,           0.0051246,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.033058,           0.0093003,                   0,              0.7815,             0.76812,             0.78355,             0.38261,            0.035104,           0.0051255,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.033251,           0.0086978,                   0,             0.71346,             0.81159,             0.81379,             0.42918,            0.033912,           0.0045857,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.033871,           0.0090979,                   0,             0.73034,             0.85507,             0.79654,             0.44255,            0.034271,           0.0049081,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.03225,           0.0093585,                   0,              0.7623,             0.82609,             0.78047,             0.38736,            0.037298,           0.0049772,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.032982,           0.0091401,                   0,             0.74851,              0.7971,             0.80728,             0.42715,            0.034844,           0.0044937,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.032193,           0.0089349,                   0,             0.79993,             0.86919,             0.83234,             0.43343,             0.03454,           0.0046349,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.032258,           0.0089239,                   0,             0.76783,             0.85507,             0.81884,               0.417,            0.035092,           0.0047755,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.032014,           0.0090607,                   0,             0.75396,             0.85507,             0.82718,             0.45473,            0.035601,           0.0049448,                   0,            0.008911,            0.008911,            0.008911
                  35,               0.032,           0.0084694,                   0,             0.77165,             0.84058,             0.81614,             0.43569,              0.0346,           0.0047522,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.03152,           0.0090996,                   0,             0.75874,             0.84319,             0.79007,             0.41641,            0.032658,           0.0050035,                   0,            0.008845,            0.008845,            0.008845
                  37,             0.03196,           0.0089975,                   0,             0.76906,             0.82049,             0.82099,              0.4013,            0.034061,           0.0050883,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031024,           0.0083611,                   0,             0.82666,              0.7971,             0.84454,              0.4402,            0.031119,           0.0048976,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.03112,           0.0090263,                   0,             0.79522,             0.84419,             0.84898,             0.45483,            0.031655,           0.0045938,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.030917,           0.0086949,                   0,             0.84304,             0.78986,             0.83365,             0.41355,            0.035102,           0.0046792,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031049,           0.0083165,                   0,              0.7306,             0.86957,             0.80986,              0.4341,            0.036267,           0.0047131,                   0,             0.00868,             0.00868,             0.00868
