                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    1.1,                0.50261,                 1.1091,                0.40015,                0.49275,                0.36915,                 0.2094,                 1.6271,                 0.5409,                0.94869,                0.07038,              0.0032911,              0.0032911
                      1,                 1.1096,                0.33273,                 1.0897,                0.62342,                0.58696,                0.61356,                0.31829,                 1.7041,                0.33524,                0.97677,               0.040358,              0.0066026,              0.0066026
                      2,                 1.2037,                0.33517,                 1.1174,                0.37029,                0.44928,                0.31707,                0.16237,                 1.8593,                0.51873,                0.96364,               0.010314,              0.0098921,              0.0098921
                      3,                 1.3967,                0.38142,                 1.2156,                0.46457,                0.46528,                0.42061,                 0.2058,                 1.8871,                0.45581,                 1.0016,               0.009901,               0.009901,               0.009901
                      4,                 1.4512,                0.38655,                  1.235,                0.02325,                0.10145,                0.01201,                0.00397,                 2.6428,                 1.9395,                 1.3075,               0.009901,               0.009901,               0.009901
                      5,                 1.5093,                0.38158,                 1.2732,                0.38555,                0.47101,                0.27759,                0.12857,                 2.1528,                  0.617,                 1.0411,               0.009868,               0.009868,               0.009868
                      6,                 1.4761,                 0.3588,                  1.246,                0.13395,                0.17391,                0.06428,                0.02355,                 2.6293,                0.79635,                 1.2313,               0.009835,               0.009835,               0.009835
                      7,                 1.4577,                0.37257,                 1.2677,                0.51303,                0.52174,                0.44159,                0.16602,                 2.0678,                0.39904,                 1.0747,               0.009802,               0.009802,               0.009802
                      8,                 1.4474,                0.36316,                 1.2499,                 0.5643,                0.62881,                0.55598,                0.27255,                 1.9713,                0.32334,                0.99199,               0.009769,               0.009769,               0.009769
                      9,                 1.4296,                0.36346,                 1.2201,                0.58156,                0.55072,                0.52126,                0.21693,                 2.0355,                0.35843,                 1.0338,               0.009736,               0.009736,               0.009736
                     10,                 1.4083,                0.36011,                 1.2229,                0.10353,                0.15942,                0.05453,                0.02537,                 2.1744,                 1.1354,                 1.1123,               0.009703,               0.009703,               0.009703
                     11,                 1.4094,                 0.3519,                 1.2349,                0.42685,                0.65301,                0.40001,                0.18202,                  1.905,                0.60096,                 1.0304,                0.00967,                0.00967,                0.00967
                     12,                 1.3964,                0.34888,                 1.2286,                0.50961,                0.58696,                0.51641,                0.28693,                 1.7399,                0.31528,                0.97977,               0.009637,               0.009637,               0.009637
                     13,                 1.3654,                0.34566,                 1.2047,                0.52982,                0.71014,                0.58369,                0.27451,                 1.8919,                0.34859,                0.96386,               0.009604,               0.009604,               0.009604
                     14,                 1.3842,                0.33222,                 1.1994,                0.57282,                0.64133,                0.58799,                0.28321,                 1.6948,                0.32196,                0.98299,               0.009571,               0.009571,               0.009571
                     15,                  1.345,                0.33678,                 1.1908,                0.57867,                0.70664,                0.57421,                0.24313,                 1.9005,                0.30757,                 1.0134,               0.009538,               0.009538,               0.009538
                     16,                 1.3429,                0.33076,                 1.1867,                 0.5326,                0.55797,                0.51546,                0.28198,                 1.7885,                0.34512,                0.96462,               0.009505,               0.009505,               0.009505
                     17,                 1.2981,                0.32834,                 1.1731,                0.53957,                0.60145,                0.56741,                 0.2741,                 1.8667,                0.31865,                0.96386,               0.009472,               0.009472,               0.009472
                     18,                 1.3184,                0.31716,                 1.1894,                0.59335,                0.76087,                0.61659,                0.32514,                  1.636,                0.26506,                0.96644,               0.009439,               0.009439,               0.009439
                     19,                 1.3118,                0.32042,                 1.1602,                0.60969,                0.67391,                0.65236,                0.36706,                 1.6578,                0.28286,                0.93892,               0.009406,               0.009406,               0.009406
                     20,                 1.2773,                0.30483,                 1.1616,                0.66666,                0.73188,                0.68928,                0.38504,                 1.6461,                0.25933,                 0.9388,               0.009373,               0.009373,               0.009373
                     21,                 1.3285,                0.32103,                 1.1734,                0.59624,                0.53623,                 0.5647,                 0.3244,                 1.6314,                0.29489,                0.94396,                0.00934,                0.00934,                0.00934
